country,variable,value
EST,Income,0.0909760092611084
ETH,Income,0.11370132733746
EU,Income,0.0753086193110073
FIN,Income,0.0852400134236814
FJI,Income,0.0766346244595285
FRA,Income,0.0867741525289201
FRO,Income,0.0774106967655355
FSM,Income,0.107084658890067
For,Income,0.0817204301075269
GAB,Income,0.11043064899274
GBR,Income,0.0889364441733307
GEO,Income,0.0851554963691581
GGY,Income,0.0904871058356896
GHA,Income,0.0874220564537599
GIB,Income,0.0952866675166815
GIN,Income,0.0908660642940562
GMB,Income,0.0588137009189641
GNB,Income,0.0961538461538462
GRC,Income,0.0912133433488602
GRD,Income,0.0618552073915915
GRL,Income,0.111244019138756
GTM,Income,0.0909046934915586
GUF,Income,0.0837576630937065
GUM,Income,0.125
GUY,Income,0.097082417765745
HKG,Income,0.0957881938760432
HND,Income,0.0874666102759988
HRV,Income,0.0982507361275497
HTI,Income,0.0905077063269921
HUN,Income,0.0883283246334204
Hon,Income,0.089653416656901
IDN,Income,0.0924302516754595
IMN,Income,0.103625541125541
IND,Income,0.0991071833350795
IRL,Income,0.0899498972428106
IRN,Income,0.0967716104193144
IRQ,Income,0.10820395947342
ISL,Income,0.0895159636735843
ISR,Income,0.0967789289624757
ITA,Income,0.0820133168555988
JAM,Income,0.106655879093196
JEY,Income,0.0751292510462638
JOR,Income,0.106171542377795
JPN,Income,0.0880274435588449
KAZ,Income,0.0934187639077574
KEN,Income,0.104900909224517
KGZ,Income,0.0832040935090454
KHM,Income,0.0906081076626289
KIR,Income,0.103485838779956
KNA,Income,0.091025641025641
KOR,Income,0.0902728220474977
KWT,Income,0.158215186921371
LAO,Income,0.214080459770115
LBN,Income,0.110783468860228
LBR,Income,0.0787878787878788
LBY,Income,0.105192977067977
LCA,Income,0.0793927327028372
LIE,Income,0.0538485332315853
LKA,Income,0.0919948610111865
LSO,Income,0.103448275862069
LTU,Income,0.090924748795388
LUX,Income,0.101248119786938
LVA,Income,0.0913792885986148
MAC,Income,0.0819687453896163
MAR,Income,0.090957969484507
MCO,Income,0.0970463030249296
MDA,Income,0.0982039931553213
MDG,Income,0.0934603832591044
MDV,Income,0.0794989332872052
MEX,Income,0.0909509473264762
MHL,Income,0.10613810741688
MKD,Income,0.093795648719736
MLI,Income,0.0934434507489536
MLT,Income,0.091293354740103
MMR,Income,0.0868694403438324
MNE,Income,0.0832314691689692
MNG,Income,0.0971668685273709
MOZ,Income,0.100454822377681
MRT,Income,0.0772727272727273
MSR,Income,0.0944904531861054
MUS,Income,0.0956208059461952
MWI,Income,0.0887540187301851
MYS,Income,0.0993746627109625
MYT,Income,0.0842606970324362
NAM,Income,0.0773925094409511
NER,Income,0.250948121645796
NGA,Income,0.0944842816293012
NIC,Income,0.0787995363377559
NIU,Income,0.0876623376623377
NLD,Income,0.0849067586694778
NOR,Income,0.0862289021187423
NPL,Income,0.110758211018139
NRU,Income,0.0526315789473684
NZL,Income,0.08507214724131
OMN,Income,0.101359530019625
PAK,Income,0.0929003165689229
PAN,Income,0.0961599767339312
PER,Income,0.0928541171977083
PHL,Income,0.0970295333608921
PLW,Income,0
PNG,Income,0.0920974376446809
POL,Income,0.0947087566495551
PRI,Income,0.0880267055591013
PRK,Income,0.0731927716283161
PRT,Income,0.0847496503465508
PRY,Income,0.0976638448573844
PSE,Income,0.0893574535203037
QAT,Income,0.0992838541159058
ROU,Income,0.0917342903695302
RUS,Income,0.09535211725508
RWA,Income,0.0558036592563447
SAU,Income,0.101561722615901
SDN,Income,0.0959246130661107
SEN,Income,0.0971991114541714
SGP,Income,0.096395503726382
SHN,Income,0.101010101010101
SLE,Income,0.081905076323681
SLV,Income,0.088750633673235
SM2,Income,0.0611725237859539
SMR,Income,0.0818580542264753
SOM,Income,0.0725385725385725
SRB,Income,0.104325285587385
SUR,Income,0.0734645077543212
SVK,Income,0.0885382682992703
SVN,Income,0.0830187212142932
SWE,Income,0.0835665299784009
SWZ,Income,0.0849819894500746
SYC,Income,0.157120743034056
SYR,Income,0.0974094173811712
TCD,Income,0.101656280227709
TGO,Income,0.102641842571878
THA,Income,0.0918283062385017
TJK,Income,0.0641381381381381
TKM,Income,0.0747863247863248
TON,Income,0.0944741532976827
TTO,Income,0.0875182168533054
TUN,Income,0.100449145713145
TUR,Income,0.0915035736346221
TUV,Income,0.120225510923185
TWN,Income,0.0848597003998249
TZA,Income,0.0811405196091978
UGA,Income,0.117542886623552
UKR,Income,0.100394768834409
URY,Income,0.0891818661544792
USA,Income,0.0865373560434079
UZB,Income,0.0998339352929987
VCT,Income,0.0874458874458875
VEN,Income,0.0930712234713524
VGB,Income,0.0884502692429522
VIR,Income,0.139013971686782
VNM,Income,0.106112616907288
VUT,Income,0.141666666666667
WLF,Income,0.141228171890766
YEM,Income,0.177033492822966
ZAF,Income,0.0917481758517724
ZMB,Income,0.0902750953540961
ZWE,Income,0.0808659270212158
Total,Jobs,0.0892652698215144
ABW,Jobs,0.0851761644686258
AFG,Jobs,0.0869217000781183
AGO,Jobs,0.0886536485042639
AIA,Jobs,0.113997632395994
ALB,Jobs,0.0942609049692415
AND,Jobs,0.089442084287626
ANT,Jobs,0.0710870460549036
ARE,Jobs,0.093885660796522
ARG,Jobs,0.0946150059405253
ARM,Jobs,0.0819191700603193
ATG,Jobs,0.089035654846699
AUS,Jobs,0.0852938928724331
AUT,Jobs,0.0868324858470211
AZE,Jobs,0.0890310391775447
BDI,Jobs,0.0964032235063083
BEL,Jobs,0.0878728173834323
BEN,Jobs,0.0898769975802133
BFA,Jobs,0.0867583396995162
BGD,Jobs,0.0901422186867544
BGR,Jobs,0.0942513644032736
BHR,Jobs,0.093373987652106
BHS,Jobs,0.0889915493668179
BIH,Jobs,0.100728540585609
BLR,Jobs,0.0841915206920856
BLZ,Jobs,0.0821392190938914
BMU,Jobs,0.0662049146617497
BOL,Jobs,0.0968060449669164
BRA,Jobs,0.0888366195854654
BRB,Jobs,0.0913357911185144
BRN,Jobs,0.109130075359459
BTN,Jobs,0.0843087368410644
BWA,Jobs,0.0958689513733373
CAF,Jobs,0.100815850815851
CAN,Jobs,0.0886103163873062
CHE,Jobs,0.0898642244500811
CHL,Jobs,0.0928775251905838
CHN,Jobs,0.0886353842373773
CIV,Jobs,0.0925596395833745
CMR,Jobs,0.100062345147367
COD,Jobs,0.0805306160706858
COG,Jobs,0.0876961789086372
COK,Jobs,0.118284656519951
COL,Jobs,0.0902724692337817
COM,Jobs,0.100824175824176
CPV,Jobs,0.147521698414556
CRI,Jobs,0.0915831456474383
CUB,Jobs,0.0771898531588521
CYM,Jobs,0.0568794538266112
CYP,Jobs,0.0778611764865594
CZE,Jobs,0.0926128567830883
DEU,Jobs,0.086481582102803
DJI,Jobs,0.0683941123743926
DMA,Jobs,0.05
DNK,Jobs,0.0869306203675941
DOM,Jobs,0.0876188140377737
DZA,Jobs,0.0990598698246167
ECU,Jobs,0.0909923485289653
EGY,Jobs,0.0867471820233906
ERI,Jobs,0.0315151515151515
ESP,Jobs,0.0930855198277045
EST,Jobs,0.0887760615317035
ETH,Jobs,0.0935670617121374
